Bairros,Latitude,Longitude
Entroncamento  - DAENT,,
Águas Lindas,-1.391782871195715,-48.38915621300782
Aurá,-1.4264431025891071,-48.38640500966133
Castanheira,-1.4085231269187428,-48.43136529047305
Curió-Utinga,-1.4304484744567325,-48.44671291561767
Guanabara,-1.3993960077775134,-48.41461730547341
Mangueirão,-1.3785096902888354,-48.44523024895819
Marambaia,-1.4040455762267603,-48.45378442013121
Souza,-1.4168448510056022,-48.45133545552554
Val-de-Cans,-1.3899201403939638,-48.47377328795317
Universitário,-1.4641766243350125,-48.44131681748722
,,
Sacramenta - DASAC,,
Barreiro,"-1.4138414745232866,",-48.484360753803344
Fátima,"-1.442005183989072,",-48.47243414972154
Maracangalha,-1.3991125395057884,-48.48132245725805
Miramar,-1.4067216782417977,-48.491250294345846
Pedreira,-1.424553419158649,-48.47126539140072
Sacramenta,-1.4134199582802194,-48.47628399983942
Telegráfo,-1.4263738832324369,-48.48663203794686
,,
Belém - DABEL,,
Batista Campos,-1.461154190602939,-48.489916070909615
Campina,-1.4524541297054065,-48.49932675796269
Cidade Velha,-1.461925444909489,-48.50609478268611
Nazaré,-1.4542657286489769,-48.481241635130495
Reduto,-1.446146894732042,-48.49247791488606
São Brás,-1.4516460667493658,-48.47081977453019
Umarizal,-1.4414179120121386,-48.48372067475526
Marco,-1.4353613116140458,-48.461163810273725
,,
Guamá - DAGUA,,
Canudos,-1.4537652685391431,-48.46123165149005
Condor,-1.472430266445473,-48.48140347758944
Cremação,-1.4613241069560536,-48.47630397754234
Guamá,-1.4639327714825685,-48.46326382326709
Jurunas,-1.4709312474042824,-48.493768340255016
Montese (Terra Firme),-1.4571484685537113,-48.451291969029484
,,
Benguí - DABEN,,
Benguí,-1.375249238301045,-48.45530497194068
Cabanagem,-1.368014045387432,-48.432526291913945
Coqueiro,-1.3666365007073038,-48.41377084991598
Parque Verde,-1.3673684112921218,-48.4437381698801
Pratinha,-1.3600952567573232,-48.473835632360085
São Clemente,-1.3661978000624662,-48.46010825439374
Tapanã,-1.3389992497208354,-48.4740725813765
Una,-1.3715850277768897,-48.425078085007414
,,
Aeroporto Val-de-Cans,-1.3856314207998055,-48.479838522605164
